Year,Quarter,Rigs,Country,Lat,LON
2017,Q1,383,Middle_East,27.202253,46.672051
2016,Q4,382,Middle_East,27.202253,46.672051
2016,Q3,385,Middle_East,27.202253,46.672051
2016,Q2,388,Middle_East,27.202253,46.672051
2016,Q1,403,Middle_East,27.202253,46.672051
2015,Q4,415,Middle_East,27.202253,46.672051
2015,Q3,393,Middle_East,27.202253,46.672051
2015,Q2,403,Middle_East,27.202253,46.672051
2015,Q1,412,Middle_East,27.202253,46.672051
2014,Q4,399,Middle_East,27.202253,46.672051
2014,Q3,411,Middle_East,27.202253,46.672051
2014,Q2,415,Middle_East,27.202253,46.672051
2014,Q1,400,Middle_East,27.202253,46.672051
2013,Q4,392,Middle_East,27.202253,46.672051
2013,Q3,373,Middle_East,27.202253,46.672051
2013,Q2,368,Middle_East,27.202253,46.672051
2013,Q1,355,Middle_East,27.202253,46.672051
2012,Q4,378,Middle_East,27.202253,46.672051
2012,Q3,390,Middle_East,27.202253,46.672051
2012,Q2,343,Middle_East,27.202253,46.672051
2012,Q1,311,Middle_East,27.202253,46.672051
2011,Q4,303,Middle_East,27.202253,46.672051
2011,Q3,289,Middle_East,27.202253,46.672051
2011,Q2,291,Middle_East,27.202253,46.672051
2011,Q1,283,Middle_East,27.202253,46.672051
2010,Q4,270,Middle_East,27.202253,46.672051
2010,Q3,273,Middle_East,27.202253,46.672051
2010,Q2,256,Middle_East,27.202253,46.672051
2010,Q1,260,Middle_East,27.202253,46.672051
2009,Q4,248,Middle_East,27.202253,46.672051
2009,Q3,243,Middle_East,27.202253,46.672051
2009,Q2,251,Middle_East,27.202253,46.672051
2009,Q1,267,Middle_East,27.202253,46.672051
2008,Q4,282,Middle_East,27.202253,46.672051
2008,Q3,287,Middle_East,27.202253,46.672051
2008,Q2,278,Middle_East,27.202253,46.672051
2008,Q1,272,Middle_East,27.202253,46.672051
2007,Q4,269,Middle_East,27.202253,46.672051
2007,Q3,273,Middle_East,27.202253,46.672051
2007,Q2,262,Middle_East,27.202253,46.672051
2007,Q1,258,Middle_East,27.202253,46.672051
2006,Q4,257,Middle_East,27.202253,46.672051
2006,Q3,250,Middle_East,27.202253,46.672051
2006,Q2,230,Middle_East,27.202253,46.672051
2006,Q1,214,Middle_East,27.202253,46.672051
2005,Q4,259,Middle_East,27.202253,46.672051
2005,Q3,245,Middle_East,27.202253,46.672051
2005,Q2,246,Middle_East,27.202253,46.672051
2005,Q1,240,Middle_East,27.202253,46.672051
2004,Q4,240,Middle_East,27.202253,46.672051
2004,Q3,236,Middle_East,27.202253,46.672051
2004,Q2,226,Middle_East,27.202253,46.672051
2004,Q1,219,Middle_East,27.202253,46.672051
2003,Q4,213,Middle_East,27.202253,46.672051
2003,Q3,212,Middle_East,27.202253,46.672051
2003,Q2,208,Middle_East,27.202253,46.672051
2003,Q1,213,Middle_East,27.202253,46.672051
2002,Q4,212,Middle_East,27.202253,46.672051
2002,Q3,203,Middle_East,27.202253,46.672051
2002,Q2,198,Middle_East,27.202253,46.672051
2002,Q1,193,Middle_East,27.202253,46.672051
2001,Q4,183,Middle_East,27.202253,46.672051
2001,Q3,186,Middle_East,27.202253,46.672051
2001,Q2,174,Middle_East,27.202253,46.672051
2001,Q1,173,Middle_East,27.202253,46.672051
2000,Q4,164,Middle_East,27.202253,46.672051
2000,Q3,161,Middle_East,27.202253,46.672051
2000,Q2,156,Middle_East,27.202253,46.672051
2000,Q1,143,Middle_East,27.202253,46.672051
1999,Q4,136,Middle_East,27.202253,46.672051
1999,Q3,136,Middle_East,27.202253,46.672051
1999,Q2,140,Middle_East,27.202253,46.672051
1999,Q1,147,Middle_East,27.202253,46.672051
1998,Q4,161,Middle_East,27.202253,46.672051
1998,Q3,170,Middle_East,27.202253,46.672051
1998,Q2,167,Middle_East,27.202253,46.672051
1998,Q1,165,Middle_East,27.202253,46.672051
1997,Q4,165,Middle_East,27.202253,46.672051
1997,Q3,170,Middle_East,27.202253,46.672051
1997,Q2,158,Middle_East,27.202253,46.672051
1997,Q1,142,Middle_East,27.202253,46.672051
1996,Q4,138,Middle_East,27.202253,46.672051
1996,Q3,139,Middle_East,27.202253,46.672051
1996,Q2,135,Middle_East,27.202253,46.672051
1996,Q1,131,Middle_East,27.202253,46.672051
1995,Q4,133,Middle_East,27.202253,46.672051
1995,Q3,124,Middle_East,27.202253,46.672051
1995,Q2,128,Middle_East,27.202253,46.672051
1995,Q1,127,Middle_East,27.202253,46.672051
1994,Q4,116,Middle_East,27.202253,46.672051
1994,Q3,112,Middle_East,27.202253,46.672051
1994,Q2,126,Middle_East,27.202253,46.672051
1994,Q1,148,Middle_East,27.202253,46.672051
2019,Q3,224,Asia_Pacific,12.85034575,109.6613752
2019,Q2,230,Asia_Pacific,12.85034575,109.6613752
2019,Q1,235,Asia_Pacific,12.85034575,109.6613752
